시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
44131,1,311,0,1,충청남도,천안시 동남구,44131250.0,목천읍,4547156,덕전1길,목천읍 덕전리 산151-1임,목천읍 지산리 64-3 도,127.19699534969999,36.800814324099996
44131,200,27,29,2,충청남도,천안시 동남구,44131340.0,성남면,4547552,용원2길,성남면 용원리 604-6구,성남면 용원리 37-9 임,127.2190266253,36.7565470983
44131,223,59,1,3,충청남도,천안시 동남구,44131350.0,수신면,4547243,발산5길,수신면 발산리 317-4답,수신면 발산리 597-17천,127.3051929753,36.7201207121
44131,241,55,15,6,충청남도,천안시 동남구,44131360.0,병천면,4547163,도원면실길,병천면 탑원리 401도,병천면 도원리 724-1구,127.3093318786,36.7682167663
44131,443,1,0,16,충청남도,천안시 동남구,44131330.0,북면,4547141,대평3길,북면 대평리 745도,북면 대평리 744도,127.28291312889999,36.8688756224
44131,1755,336,1,54,충청남도,천안시 동남구,44131118.0,신부동,3249006,대흥로,구성동 493도,신부동 367-2도,127.1515524502,36.8176734858
44131,1762,15,1,55,충청남도,천안시 동남구,44131102.0,성황동,4547279,복자4길,성황동 111-1도,성황동 산2-5임,127.1520573969,36.8163031111
44131,1903,18,1,77,충청남도,천안시 동남구,44131107.0,원성동,4547767,향교1길,원성동 10-13 도,유량동 406-15천,127.166303701,36.8148677233
44131,1912,55,1,79,충청남도,천안시 동남구,44131112.0,유량동,4547767,향교1길,원성동 10-13 도,유량동 406-15천,127.1698514442,36.8158791488
44131,4013,29,9,124,충청남도,천안시 동남구,44131320.0,광덕면,4547269,보산원1길,광덕면 광덕리 84-2도,광덕면 보산원리 651천,127.0655233816,36.6805119065
44131,4053,2610,1,128,충청남도,천안시 동남구,44131370.0,동면,3249055,충절로,신부동 95-6도,동면 덕성리 산7-6임,127.37142613620001,36.8021389065
44131,4252,47,0,145,충청남도,천안시 동남구,44131108.0,구성동,4547036,고재17길,원성동 616도,구성동 490도,127.16421664629999,36.8024315915
44131,4489,17,12,173,충청남도,천안시 동남구,44131310.0,풍세면,4547747,풍서2길,풍세면 풍서리 687도,풍세면 보성리 547-4 전,127.1138782618,36.7158907161
44131,4552,309,17,177,충청남도,천안시 동남구,43114253.0,오창읍,4547779,화덕2길,동면 화덕리 603천,동면 화덕리 184목,127.40450306780001,36.7457241413
44131,4775,33,0,182,충청남도,천안시 동남구,44131116.0,신방동,3249063,통정5로,신방동 492-24전,신방동 219-2도,127.13137403530001,36.772752190300004
44131,4966,375,79,195,충청남도,천안시 동남구,36110390.0,소정면,3249003,광덕로,광덕면 매당리 225-2도,광덕면 행정리 216도,127.1418925891,36.6899713654
44131,6031,5,0,242,충청남도,천안시 동남구,44131115.0,용곡동,4547534,용곡5길,용곡동 205천,용곡동 546-41천,127.1386653235,36.7894059578
44131,6658,16,1,267,충청남도,천안시 동남구,44131109.0,청수동,4547717,청수2길,다가동 27-6대,청수동 213-4대,127.15267616959999,36.794104764400004
44131,6692,48,52,268,충청남도,천안시 동남구,44131110.0,삼룡동,4547651,정골1길,구성동 290-12도,구성동 107-4답,127.1722958117,36.787269357
44131,6749,33,0,274,충청남도,천안시 동남구,44131111.0,청당동,4550652,용평3길,구룡동 660천,구룡동 127-10도,127.1457986638,36.7737410963
44131,6749,34,0,274,충청남도,천안시 동남구,44131120.0,구룡동,4550652,용평3길,구룡동 660천,구룡동 127-10도,127.1457653259,36.7737445745
44131,6914,3,0,278,충청남도,천안시 동남구,44131104.0,사직동,4547313,사직4길,사직동 265도,사직동 241 도,127.148175048,36.8000664987
44131,6945,13,0,281,충청남도,천안시 동남구,44131119.0,안서동,3249011,문암로,안서동 526-34천,안서동 526-47천,127.1757597725,36.8384528005
44131,7494,5,0,298,충청남도,천안시 동남구,44131114.0,다가동,4547683,천변길,사직동 345도,사직동 340도,127.1472570739,36.7990286122
44131,7568,11,0,304,충청남도,천안시 동남구,44131106.0,오룡동,4547525,오룡길,오룡동 152도,오룡동 207-1도,127.15118334659999,36.8057114768
44131,7581,1,0,305,충청남도,천안시 동남구,44131105.0,영성동,4547601,원성2교길,영성동 129도,원성동 616도,127.15284985,36.8035530402
44131,7748,1,0,315,충청남도,천안시 동남구,44131113.0,봉명동,4547289,봉서11길,봉명동 505도,봉명동 501도,127.13079657959999,36.8139484038
44131,9583,11,0,372,충청남도,천안시 동남구,44133102.0,성정동,4547353,서부역6길,봉명동 48-5도,성정동 614-2도,127.1413674048,36.807990622199995
44131,9608,51,0,374,충청남도,천안시 동남구,44133107.0,쌍용동,2249004,쌍용대로,쌍용동 543도,성성동 1-23 도,127.1317432865,36.8021104868
44131,12179,142,1,501,충청남도,천안시 동남구,44131103.0,문화동,3249040,중앙로,원성동 619도,신부동 317-2도,127.1528714028,36.810991145500005
44131,17752,1,0,699,충청남도,천안시 동남구,44131101.0,대흥동,4547624,은행길,대흥동 30-7도,문화동 61-3도,127.147812494,36.8082141267
44131,19130,269,0,776,충청남도,천안시 동남구,44200253.0,배방읍,3015003,봉강천로,풍세면 용정리 181제,풍세면 남관리 645-1천,127.098071355,36.755511263
44131,20185,5,0,831,충청남도,천안시 동남구,44133101.0,와촌동,4547686,천안천2길,다가동 471도,와촌동 166-115천,127.1429346808,36.8033086185
44131,35542,4147,0,1516,충청남도,천안시 동남구,36110370.0,전의면,3000189,세종로,광덕면 대평리 1-9임,목천읍 삼성리 42-2도,127.160228946,36.6881677709
44131,63084,263,0,2513,충청남도,천안시 동남구,43113320.0,옥산면,4547244,발산길,수신면 속창리 147-3도,수신면 발산리 산1-2임,127.30944654790001,36.724108197
44131,70856,281,25,2976,충청남도,천안시 동남구,44133104.0,두정동,3249040,중앙로,원성동 619도,신부동 317-2도,127.1513263106,36.8244684812
44131,74566,634,0,3288,충청남도,천안시 동남구,44133253.0,성거읍,4550569,위례산길,입장면 시장리 26-6도,북면 납안리 산산52-6임,127.23252574700001,36.864392694
44133,77104,1091,0,3423,충청남도,천안시 서북구,44133310.0,입장면,3250051,망향로,신부동 153-1도,입장면 독정리 273-1도,127.22684992389999,36.9075977586
44133,77546,73,0,3424,충청남도,천안시 서북구,44133105.0,성성동,2250002,삼성대로,성성동 520-1도,신부동 153-1도,127.1272936534,36.839223804
44133,77552,219,0,3424,충청남도,천안시 서북구,44133111.0,부대동,2250002,삼성대로,성성동 520-1도,신부동 153-1도,127.1436588744,36.8389959752
44133,77765,1691,0,3426,충청남도,천안시 서북구,44133256.0,직산읍,2249005,천안대로,목천읍 삼성리 42-2도,성환읍 신가리 439-35천,127.13976986889999,36.8904613311
44133,77778,1883,0,3426,충청남도,천안시 서북구,44133250.0,성환읍,2249005,천안대로,목천읍 삼성리 42-2도,성환읍 신가리 439-35천,127.1357705245,36.9066278628
44133,78053,1199,0,3426,충청남도,천안시 서북구,44133110.0,신당동,2249005,천안대로,목천읍 삼성리 42-2도,성환읍 신가리 439-35천,127.15531937819999,36.848355534899994
