시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
27290,28379,1,0,704,대구광역시,달서구,27710250.0,화원읍,4241152,명천로10길,대곡동 19-20,대곡동 19-10,128.5114148516,35.805302476
27710,297,22,11,4,대구광역시,달성군,27710265.0,현풍읍,4244567,현풍동로13길,현풍읍 중리 98-2,현풍읍 중리 287-1,128.4497740747,35.6957987902
27710,303,585,0,5,대구광역시,달성군,27710262.0,옥포읍,3148029,명곡로,화원읍 명곡리102,옥포읍 반송리342-5,128.5029614951,35.7548000177
27710,1165,1891,0,13,대구광역시,달성군,27710253.0,논공읍,3007026,비슬로,구지면 평촌리 759-1,화원읍 구라리 1739,128.4308256328,35.7793221051
27710,1704,491,0,13,대구광역시,달성군,27710259.0,유가읍,3007026,비슬로,구지면 평촌리 759-1,화원읍 구라리 1739,128.446667716,35.6834400589
27710,1862,101,0,13,대구광역시,달성군,27710380.0,구지면,3007026,비슬로,구지면 평촌리 759-1,화원읍 구라리 1739,128.4516066443,35.649179636
27710,2314,229,0,14,대구광역시,달성군,47830340.0,다산면,3000058,사문진로,화원읍 성산리 744-11,화원읍 천내리 156-3,128.4759751281,35.811212786999995
27710,2527,51,9,23,대구광역시,달성군,27710330.0,하빈면,4244472,육신사길,하빈면 묘리 440-1,하빈면 묘리 640,128.4151349583,35.9100747076
27710,15995,253,0,432,대구광역시,달성군,47850310.0,지천면,4244097,기곡길,하빈면 현내리 16-2,하빈면 기곡리 산1,128.44036480329999,35.9332806511
27710,19187,5,0,484,대구광역시,달성군,47820330.0,각북면,3000063,헐티로,가창면 용계리 217-5,가창면 정대리 산187,128.5605188477,35.729464089299995
27710,20916,497,14,499,대구광역시,달성군,48740320.0,성산면,3000055,달창로,유가읍 한정리 582,유가읍 본말리 298,128.489797307,35.6364353648
27710,22506,289,0,540,대구광역시,달성군,47820340.0,이서면,4244006,가창로10길,가창면 삼산리 산200-1,가창면 삼산리 산139-3,128.68944762479998,35.7388973844
27710,23167,107,0,555,대구광역시,달성군,48740330.0,대합면,3148007,구지남로,구지면 대암리 678-1,구지면 목단리 120,128.40325395879998,35.617323108899996
27710,128597,15641,0,13343,대구광역시,달성군,47830360.0,우곡면,4859665,낙동강자전거길,대구광역시 달성군 구지면 대암리 877-2구(14844),대구광역시 달성군 화원읍 성산리 744-11천(19402),128.3922737418,35.6531556827
27710,128841,14909,0,13343,대구광역시,달성군,48740340.0,이방면,4859665,낙동강자전거길,대구광역시 달성군 구지면 대암리 877-2구(14844),대구광역시 달성군 화원읍 성산리 744-11천(19402),128.37946137129998,35.607382594899995
