시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
30170,14474,1,0,676,대전광역시,서구,30170126.0,봉곡동,4298489,양천길,봉곡동130-1,봉곡동30,127.3286068795,36.2644456219
30170,16746,97,0,754,대전광역시,서구,30200101.0,원내동,3166010,관저서로,관저동709-2전,관저동588-10도,127.3286992138,36.3011034114
30170,17427,93,0,786,대전광역시,서구,30170119.0,산직동,3166047,장안로,흑석동760-6도,장안동457대,127.3438970899,36.2466358775
30170,21042,65,0,888,대전광역시,서구,30170123.0,우명동,4298380,반송길,우명동297-1,우명동315,127.2842762261,36.2356733002
30170,21061,103,0,888,대전광역시,서구,44230380.0,벌곡면,4298380,반송길,우명동297-1,우명동315,127.2822049764,36.2356674359
30170,26280,687,0,1021,대전광역시,서구,44250310.0,두마면,4298510,우명길,우명동270-1,우명동364,127.28077348069999,36.2484328608
30170,117033,135,0,8217,대전광역시,서구,30200111.0,봉명동,4859175,갑천동쪽자전거길,대전광역시 서구 월평동 187-39 도(2),대전광역시 서구 만년동 523천(522),127.35704952879999,36.3567543594
30170,117079,505,0,8217,대전광역시,서구,30200127.0,도룡동,4859175,갑천동쪽자전거길,대전광역시 서구 월평동 187-39 도(2),대전광역시 서구 만년동 523천(522),127.3910615053,36.3714072106
30200,299,39,0,2,대전광역시,유성구,30200125.0,신성동,4301251,신성로72번안길,신성동472,신성동469,127.35028063819999,36.3907519494
30200,375,23,0,7,대전광역시,유성구,30200141.0,전민동,4301395,전민로70번길,전민동899,전민동902,127.4016114419,36.3989063568
30200,610,756,1,14,대전광역시,유성구,30200130.0,화암동,2010001,대덕대로,대전 유성구 도룡동 465-27,대전 유성구 봉산동 142-2,127.3739131471,36.397579380799996
30200,738,40,1,19,대전광역시,유성구,30200145.0,봉산동,4301195,봉산북로3번길,봉산동986,봉산동741,127.3817250134,36.4450917458
30200,755,34,1,20,대전광역시,유성구,30200139.0,반석동,4301174,반석로76번길,반석동322-3,반석동418,127.30514122,36.3914154785
30200,768,1,0,21,대전광역시,유성구,30200120.0,지족동,3167025,반석동로,지족동997,반석동672,127.31298691200001,36.387565577
30200,1133,6,1,31,대전광역시,유성구,30200138.0,외삼동,4301294,외삼로42번길,외삼동577,외삼동574,127.31561304459998,36.3974951839
30200,1304,1,0,41,대전광역시,유성구,30200132.0,하기동,3167037,송림로,지족동1005,하기동596,127.31851745649999,36.3873688959
30200,1419,54,0,43,대전광역시,유성구,30200121.0,죽동,4301228,송림로54번길,하기동596,하기동596,127.3228409626,36.384931514499996
30200,1733,93,0,53,대전광역시,유성구,30200140.0,문지동,3167022,문지로,도룡동401,문지동565,127.3886844917,36.3898982918
30200,1860,1,0,54,대전광역시,유성구,30200128.0,장동,3167002,가정북로,장동84-19,장동363-7,127.3638716917,36.3844635791
30200,2166,71,0,61,대전광역시,유성구,30200134.0,자운동,4301437,하기로143번길,하기동510,하기동603,127.34314691590001,36.3929903906
30200,2461,101,0,74,대전광역시,유성구,30200148.0,금고동,3010028,불무로,대덕구문평동400-3,금고동산98-3,127.3859736561,36.4523478834
30200,3022,337,0,97,대전광역시,유성구,30200144.0,용산동,4301277,엑스포로539번길,전민동791-34,용산동672,127.3936615994,36.413770894
30200,3184,195,0,97,대전광역시,유성구,30200143.0,탑립동,4301277,엑스포로539번길,전민동791-34,용산동672,127.39618978690001,36.4083798462
30200,3290,15,1,101,대전광역시,유성구,30200147.0,송강동,4301059,구즉로58번길,송강동550,송강동555,127.3859567133,36.434159497399996
30200,3724,285,0,113,대전광역시,유성구,30200150.0,금탄동,3167018,대금로,금고동231-5,금탄동산126,127.3889412604,36.4866765517
30200,3866,247,0,114,대전광역시,유성구,30200153.0,구룡동,3000097,구룡달전로,대전 유성구 봉산동 305-1,대전 유성구 둔곡동 산50-2,127.36450363,36.4487993494
