시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
47170,11272,159,1,738,경상북도,안동시,47170105.0,신안동,3307040,퇴계로,운흥동 300-4,도산면 가송리 617,128.732135573,36.571426653
47170,11352,233,1,751,경상북도,안동시,47170108.0,신세동,3307019,서동문로,평화동 162-2,법흥동 59-21,128.7374545509,36.5650951419
47170,11358,190,1,752,경상북도,안동시,47170125.0,법상동,3307012,단원로,태화동 705-54,신안동 298-19,128.7244466669,36.5699378365
47170,11471,145,1,770,경상북도,안동시,47170124.0,목성동,3307019,서동문로,평화동 162-2,법흥동 59-21,128.7280654238,36.5667927899
47170,11479,247,2,772,경상북도,안동시,47170104.0,명륜동,3307012,단원로,태화동 705-54,신안동 298-19,128.7309641222,36.5698637421
47170,12474,2,0,789,경상북도,안동시,47170116.0,남문동,4721470,번영길,서부동 178-9,서부동 149-117,128.7272111701,36.5656810735
47170,15058,1,0,853,경상북도,안동시,47170117.0,안흥동,4722076,중앙시장6길,안흥동 310-20,안흥동 276-3,128.725315433,36.5643338228
47170,15086,5,0,855,경상북도,안동시,47170114.0,천리동,4721346,맑은샘2길,운흥동 280-28,천리동 231-6,128.7267602011,36.5619798852
47170,16082,2,0,878,경상북도,안동시,47170106.0,율세동,4721450,배나무골길,율세동 485-1,신안동 30-6,128.7320792126,36.5699042598
47170,16148,83,0,879,경상북도,안동시,47170107.0,옥정동,4721562,상지길,신안동 298-9,옥정동 425-43,128.73599611059998,36.568182947800004
47170,16290,7,0,888,경상북도,안동시,47170115.0,남부동,4721959,음식의길,남부동 237-6대,옥전동 9-3대,128.7317092447,36.563592893
47170,16325,77,0,888,경상북도,안동시,47170103.0,북문동,4721959,음식의길,남부동 237-6대,옥전동 9-3대,128.7326027163,36.5666581267
47170,29605,27,0,1264,경상북도,안동시,47170390.0,길안면,4721516,비석거리길,길안면 배방리 521구,길안면 배방리 산23-2임,128.9750383615,36.4416856445
47170,30261,3325,8,1281,경상북도,안동시,47170400.0,임동면,3018013,경동로,서후면 교리 588,임동면 갈전리 산159-12 임,128.9691180573,36.5674230704
47170,38578,885,1,1831,경상북도,안동시,47750360.0,파천면,3018014,길안청송로,길안면 천지리 538-1도,길안면 배방리 521구,128.9736239245,36.4396880659
47170,46821,5,0,2203,경상북도,안동시,47210320.0,평은면,4721036,감성길,북후면 옹천리 1096-1천,북후면 옹천리 10-1전,128.7166837203,36.7036695647
47170,111087,299,1,4612,경상북도,안동시,47170350.0,일직면,4721886,용각길,일직면 국곡리 37-8도,풍천면 어담리 454-11대,128.5898882766,36.452540743
47170,122387,133,0,4937,경상북도,안동시,47900360.0,호명면,4721111,괴정2길,풍산읍 괴정리 556-2도,풍산읍 괴정리 972구,128.5298401248,36.604514047100004
47170,133015,138,25,5430,경상북도,안동시,47900400.0,지보면,4721656,섬마을2길,풍천면 기산리 803-2제,풍천면 신성리 675구,128.44832087129998,36.533070516799995
47170,133048,1,0,5431,경상북도,안동시,47730450.0,신평면,4721726,신기길,풍천면 금계리 826-2도,풍천면 금계리 959도,128.50408782870002,36.5008867731
47170,146177,415,0,5983,경상북도,안동시,47730310.0,단촌면,3018018,일직점곡로,일직면 망호리 1068-4도,일직면 귀미리 2-1전,128.70518250840001,36.459620513400004
47190,460,263,11,6,경상북도,구미시,47190125.0,임수동,3018095,3공단1로,경상북도 칠곡군 석적읍 중리 514,경상북도 구미시 임수동 404-7,128.4012567283,36.1057190527
47190,461,177,1,7,경상북도,구미시,47190112.0,비산동,3308041,신비로,신평동131-12,비산동 65-2,128.3808858457,36.1233366746
47190,467,311,19,8,경상북도,구미시,47190129.0,구포동,3308045,옥계2공단로,황상동 502-8,해평면 괴곡리 799-11,128.4147163765,36.1334052904
47190,484,7,19,10,경상북도,구미시,47190114.0,광평동,4724050,구미대로14길,광평동  456-6,광평동  550-5,128.3643837702,36.1080222288
47190,576,1,0,18,경상북도,구미시,47190113.0,공단동,3308022,비산로,공단동 112-1,공단동 130-8,128.3719122096,36.1195508814
47190,932,1,0,44,경상북도,구미시,47190123.0,진평동,3308025,삼일로,진평동 375-1,황상동 363-4,128.417548727,36.1051348326
47190,963,63,0,44,경상북도,구미시,47190121.0,황상동,3308025,삼일로,진평동 375-1,황상동 363-4,128.4174487522,36.1107212684
47190,1152,53,7,64,경상북도,구미시,47190250.0,선산읍,4724504,소재길,선산읍소재리  31-4,선산읍소재리 181-2,128.2380353764,36.2329801705
47190,1501,49,0,90,경상북도,구미시,47190102.0,지산동,4724608,야은로43길,신평동 17,신평동 477,128.3617472583,36.1281995412
47190,1503,76,21,91,경상북도,구미시,47190128.0,옥계동,3308046,옥계남로,구포동 228-8,옥계동 873,128.4268708514,36.1362763839
47190,1526,1,0,96,경상북도,구미시,47190101.0,원평동,4724874,칠성로4길,원평동 937-64,원평동 937-180,128.3565591574,36.1229242889
47190,1739,17,0,110,경상북도,구미시,47190120.0,구평동,4724766,인동54안길,구평동1038,구평동1009,128.44489078430001,36.0916885189
47190,2605,205,0,146,경상북도,구미시,47190256.0,산동읍,3308066,해마루공원로,구포동 239,산동면 신당리 286-11,128.43256301370002,36.1511110679
47190,2679,5,29,149,경상북도,구미시,47190108.0,남통동,4724687,원남로4길,원평동 83,남통동 26-3,128.325073675,36.1284019888
47190,2694,1,0,150,경상북도,구미시,47190126.0,양호동,4724031,거양12길,양호동 436-2,양호동101-1,128.3817553099,36.135292228400004
47190,2758,1,0,151,경상북도,구미시,47190127.0,거의동,4724035,거양길,거의동 619-1,양호동 467-2,128.4113077115,36.1367032555
47190,3305,12,9,166,경상북도,구미시,47190116.0,상모동,4724282,박정희로5길,상모동263-4,상모동산27-1,128.34916652450002,36.0862221367
47190,3887,1,0,209,경상북도,구미시,47190104.0,봉곡동,3308018,봉곡동로,봉곡동  294-6,봉곡동 172-1,128.3147864891,36.1504866737
47190,4697,1,0,261,경상북도,구미시,47190118.0,오태동,3308009,낙동강변로,오태동 246-2,원평동 560-12,128.3720679362,36.0722285471
47190,5189,155,1,264,경상북도,구미시,47190106.0,선기동,3308031,선기로,원평동 964-608,선기동 699,128.30735369709998,36.130644120999996
47190,5551,26,7,283,경상북도,구미시,47190109.0,형곡동,4724939,형곡로39길,형곡동 186-4,형곡동 172-1,128.34051962700002,36.1108853142
47190,5579,391,9,286,경상북도,구미시,47190103.0,도량동,3018024,야은로,부곡동 407,신평동 204-3,128.3254705493,36.1379040078
47190,5748,55,19,304,경상북도,구미시,47190124.0,시미동,3018021,3공단3로,경상북도 칠곡군 석전면 중리 519,경상북도 구미시 임수동 284,128.4085958965,36.0852546561
47190,8086,88,13,510,경상북도,구미시,47190122.0,인의동,3308003,검성로,인의동 288-1,황상동 65-4,128.4271439137,36.1167361527
47190,8100,588,41,512,경상북도,구미시,47190119.0,신동,3308087,인동가산로,황상동 1021-1,신동 76-1,128.4758888641,36.094353357399996
47190,12357,697,0,775,경상북도,구미시,47190340.0,해평면,3308045,옥계2공단로,황상동 502-8,해평면 괴곡리 799-11,128.4159487947,36.1668365937
47190,12797,147,0,779,경상북도,구미시,47190360.0,장천면,3308083,송백로,장천면 상림리 669-51,산동면 송산리 321-4,128.4906265424,36.1666968368
47190,13260,363,0,783,경상북도,구미시,47190310.0,무을면,3018039,상무로,무을면 안곡리 1246-2,선산읍 봉곡리 339-1,128.1371773564,36.2796909485
47190,13261,1544,0,783,경상북도,구미시,47190320.0,옥성면,3018039,상무로,무을면 안곡리 1246-2,선산읍 봉곡리 339-1,128.2544894897,36.2515217957
47190,15259,505,0,797,경상북도,구미시,47190117.0,임은동,2018004,금오대로,경상북도 칠곡군 약목면 복성리 1195-2,경상북도 구미시 임은동 245-9,128.36123984190002,36.086673289699995
47190,17757,5,0,948,경상북도,구미시,47190130.0,금전동,4724012,4공단로12길,금전동 222-12,금전동 163,128.4570676259,36.1296395248
47190,18303,1,0,991,경상북도,구미시,47190115.0,사곡동,3308071,화신로,광평동 360-1,원평동 787-6,128.359331081,36.1029868641
47190,23118,134,3,1571,경상북도,구미시,47190330.0,도개면,4724701,월림2길,도개면 월림리 637-2,도개면 월림리 1017(월암서원),128.3076962356,36.3085514697
47190,23180,972,1,1577,경상북도,구미시,47720310.0,소보면,3308083,송백로,장천면 상림리 669-51,산동면 송산리 321-4,128.48049571299998,36.224017080900005
47190,28038,651,0,2194,경상북도,구미시,47850330.0,가산면,3308085,송신로,장천면 상장리 1018-27,장천면 하장리 607-3,128.4918268536,36.125798555500005
47190,30155,51,0,2257,경상북도,구미시,47250330.0,낙동면,3018023,산촌옥관로,옥성면 산촌리 1299-1,옥성면 구봉리 458-3(제2구봉교),128.2203055725,36.306930540100005
47190,60253,82,5,3954,경상북도,구미시,47850256.0,석적읍,3018096,3공단2로,시미동 170-17,임수동 284,128.4068367637,36.0876200379
47210,361,30,1,3,경상북도,영주시,47210101.0,영주동,3309006,광복로,영주동 546대 드림마트앞,영주동 464-88,128.621632973,36.8277664007
47210,365,141,1,4,경상북도,영주시,47210104.0,휴천동,3018026,영봉로,휴천동 1952-7답,이산면 두월리 산93-3,128.6531945532,36.8155517053
47210,454,27,1,11,경상북도,영주시,47210111.0,조암동,4727557,조암로332번길,조암동 195-7전,조암동 262유,128.6608060955,36.8002848617
47210,710,366,1,24,경상북도,영주시,47210102.0,상망동,3309052,원당로,가흥동 1457-1대 옛날 손칼국수,이산면 지동리 산156-3임 봉화군경계,128.6461236574,36.836864615
47210,917,27,1,31,경상북도,영주시,47210106.0,문정동,3309002,가흥로,문정동 585-1대 폴리텍대학 정문,가흥동 479-1주 서천교 교차로,128.6038550124,36.8033193321
47210,974,17,1,35,경상북도,영주시,47210105.0,가흥동,4727125,대동로103번길,가흥동 342-6,가흥동 38-10대,128.61319712120002,36.8158483578
47210,1260,37,1,50,경상북도,영주시,47210112.0,적서동,4727553,적서로261번길,적서동 467전,적서동 산42임,128.62231556,36.782907051900004
47210,1350,59,1,58,경상북도,영주시,47210109.0,상줄동,3309001,가흥공단로,상줄동 51-5대 영주장례식장,상줄동 86-16 잡 소디프신소재,128.5914492784,36.8277432241
47210,1530,46,1,69,경상북도,영주시,47210103.0,하망동,4727479,원당로179번길,하망동 294-28대 영남빌라,하망동 314-5대 영주중앙초등학교,128.6288317623,36.8268844365
47210,1559,66,1,73,경상북도,영주시,47210107.0,고현동,3309005,고현로,고현동 437-45전 세영중고차,고현동 421-1,128.6178082372,36.836362209
47210,1668,290,1,80,경상북도,영주시,47210110.0,조와동,3309090,의상로,상망동 698답,부석면 소천리 457-4대,128.6388428724,36.8611567499
47210,1865,152,1,102,경상북도,영주시,47210108.0,창진동,4727633,창진로195번길,창진동 187-49대 창진동회관,창진동 340전,128.5911303467,36.841498146300005
47210,2825,395,0,148,경상북도,영주시,47210340.0,장수면,4727674,한정로124번길,문정동 706-2천,문정동 산19임,128.6021100075,36.7915312586
47210,3227,1,0,157,경상북도,영주시,47210113.0,아지동,4727689,회헌로358번길,아지동 445-8답,아지동 4-3대,128.6062081824,36.860136383000004
47210,3329,206,0,157,경상북도,영주시,47210350.0,안정면,4727689,회헌로358번길,아지동 445-8답,아지동 4-3대,128.6094007336,36.8684384588
