시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
48125,119501,33,19,4885,경상남도,창원시 마산합포구,48125137.0,오동동,4787454,오동동5길,오동동 316-7,오동동 20-4,128.5805764152,35.2060736435
48125,120491,13,13,5002,경상남도,창원시 마산합포구,48125103.0,교원동,4787083,노산남11길,상남동 95-7,상남동 16-9,128.571301321,35.2117031442
48125,120849,21,1,5037,경상남도,창원시 마산합포구,48125111.0,동성동,4787164,동서북17길,동성동 168-9,동성동 48-2,128.5778622349,35.206141054
48125,120981,9,5,5044,경상남도,창원시 마산합포구,48125120.0,서성동,4787167,동서북3길,서성동 65-21,서성동 65-46,128.5726661235,35.2040311848
48125,120993,18,21,5046,경상남도,창원시 마산합포구,48125122.0,수성동,4787158,동서북11길,수성동 51-3,부림동 57-2,128.5738931319,35.204939572
48125,121010,8,32,5048,경상남도,창원시 마산합포구,48125126.0,신포동2가,4787165,동서북1길,서성동 75-1,서성동 6-1,128.5731138745,35.2030868455
48125,121060,10,1,5053,경상남도,창원시 마산합포구,48125104.0,남성동,4787172,동서북8길,남성동 182-5,남성동 142-14,128.5748363996,35.203589293
48125,121342,32,43,5081,경상남도,창원시 마산합포구,48125148.0,중앙동2가,4787712,중앙동3길,중앙동2가 2-8,중앙동2가 1-397,128.56889265270001,35.1941255195
48125,121342,32,44,5081,경상남도,창원시 마산합포구,48125135.0,월포동,4787712,중앙동3길,중앙동2가 2-8,중앙동2가 1-397,128.5688679123,35.1941076545
48125,121364,17,23,5082,경상남도,창원시 마산합포구,48125158.0,해운동,3329036,월영남로,월영동 17-9,해운동 619,128.5591284136,35.1773822209
48125,121625,34,17,5117,경상남도,창원시 마산합포구,48125160.0,홍문동,4787607,월영북15길,대내동 6-2,청계동 14-7,128.5589086159,35.1824955252
48125,121625,34,18,5117,경상남도,창원시 마산합포구,48125132.0,월남동4가,4787607,월영북15길,대내동 6-2,청계동 14-7,128.5589391796,35.1824854275
48125,121710,19,3,5124,경상남도,창원시 마산합포구,48125105.0,대내동,4787606,월영북14길,대내동 6-2,대내동 4-12,128.55700572799998,35.1819941889
48125,121796,92,18,5134,경상남도,창원시 마산합포구,48125139.0,유록동,4787202,문화남11길,월남동4가 1-3,월영동 278,128.5549559403,35.1850850812
48125,121925,57,17,5144,경상남도,창원시 마산합포구,48125113.0,두월동2가,4787227,문화북1길,중앙동1가 12-2,두월동2가 7-4,128.560708201,35.186323441999996
48125,121948,23,34,5147,경상남도,창원시 마산합포구,48125142.0,장군동2가,4787707,중앙남6길,장군동2가 16-7,장군동3가 12-2,128.5629829367,35.1934176604
48125,122077,23,1,5159,경상남도,창원시 마산합포구,48125116.0,반월동,4787272,반월북2길,중앙동1가 10-15,장군동1가 5-1,128.5612639812,35.1902166146
48125,122244,3,27,5175,경상남도,창원시 마산합포구,48125152.0,창포동2가,4787223,문화동8길,창포동2가 1-51,창포동2가 1-74,128.560975731,35.1840858058
48125,122335,28,23,5183,경상남도,창원시 마산합포구,48125133.0,월남동5가,4787407,신마산시장길,월남동5가 4-32,창포동3가 8-1,128.5599491738,35.1804865099
