시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
41670,7930,107,0,79,경기도,여주시,41670102.0,홍문동,3214042,여흥로,하동 141-0,상동 536-26,127.6352884091,37.2956871145
41670,8061,1,0,81,경기도,여주시,41670118.0,연양동,4442339,연양길,여주읍 매룡리 288도,여주읍 연양리 448도,127.6665827855,37.2819916766
41670,8356,285,0,83,경기도,여주시,41670106.0,신진동,3214054,주내로,여주읍 상리 148도,여주읍 점봉리 42-1 도,127.67055579870001,37.2779275571
41670,8407,389,0,83,경기도,여주시,41670105.0,단현동,3214054,주내로,여주읍 상리 148도,여주읍 점봉리 42-1 도,127.6790427266,37.2723031208
41670,8625,826,0,83,경기도,여주시,41670116.0,능현동,3214054,주내로,여주읍 상리 148도,여주읍 점봉리 42-1 도,127.66367758780001,37.2562891732
41670,9042,1,0,88,경기도,여주시,41670113.0,하거동,3214028,북벌로,하거동 722-1,상거동 195-2,127.6354253902,37.2324112167
41670,14881,1,0,131,경기도,여주시,41670120.0,천송동,3214038,어영실로,천송동 538-5,오학동 393-16,127.65423341729999,37.301024898899996
41670,14945,129,0,131,경기도,여주시,41670121.0,오학동,3214038,어영실로,천송동 538-5,오학동 393-16,127.6550756592,37.311642439
41670,22622,1,0,502,경기도,여주시,41670370.0,강천면,4442060,귀안골길,강천면 간매리 539도,강천면 간매리 산149임,127.70590540229999,37.2762578164
41670,25858,29,0,713,경기도,여주시,41830395.0,지평면,4442516,옥촌1길,대신면 옥촌리 1011도,대신면 옥촌리 84종,127.61903992020001,37.4114783793
41670,26233,18,1,729,경기도,여주시,41670380.0,산북면,4442505,후리길,산북면 후리 223-1대,산북면 후리 87임,127.449971393,37.3988312382
41670,26290,529,1,732,경기도,여주시,41670330.0,금사면,3214010,금품1로,산북면 상품리 26-5전,금사면 외평리 239-6도,127.48858144309999,37.4042609234
41670,50770,263,0,1673,경기도,여주시,41830410.0,개군면,3214069,여양1로,대신면 천서리 748-0,대신면 윤촌리 229-3,127.5719818481,37.411814353000004
41670,59248,1,0,2052,경기도,여주시,41830310.0,강상면,4442368,용담4길,산북면 용담리 384-6천,산북면 용담리 50-2잡,127.49222356879999,37.433871548
41670,73846,1,0,2432,경기도,여주시,42130250.0,문막읍,4442090,능이마을길,강천면 도전리 1266-73 천,강천면 도전리 1260-28임,127.7687094648,37.3028722324
41800,1,1,0,1,경기도,연천군,41800320.0,청산면,3213061,청신로,말뚝고개삼거리(초성리 산89-3),초성리 산17,127.06618706129998,37.9753423497
41800,963,31,0,15,경기도,연천군,41800350.0,왕징면,4445279,왕산로40번길,무등리 10-1,무등리 15,127.0139941823,38.0577344543
41800,1094,1,0,21,경기도,연천군,41800340.0,미산면,4445465,청정로733번길,아미리 806-5,아미리 781-2,126.93475994159999,38.0373601657
