시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
28110,409,862,0,1135,인천광역시,중구,,,3149028,영종순환로,중산동1097-307답,운북동656-11 도,126.5003588715,37.513576316300004
28110,445,7,53,7,인천광역시,중구,28110133.0,내동,4247320,자유공원로27번길,전동37-1도,내동60-1도,126.6282413725,37.475030189
28110,473,17,1,12,인천광역시,중구,28110134.0,경동,4247369,참외전로152번길,인현동1-222도,용동88-1도,126.63228603510001,37.4725456689
28110,476,18,24,13,인천광역시,중구,28110137.0,전동,4247382,참외전로72번길,전동13-3도,전동37-1도,126.6280365202,37.4773529582
28110,485,7,1,15,인천광역시,중구,28110128.0,신흥동3가,4247349,제물량로32번길,신흥동3가40-1도,신흥동3가11-4도,126.6370119273,37.463559482
28110,496,14,1,17,인천광역시,중구,28110136.0,인현동,4247368,참외전로151번길,인현동1-223도,인현동1-197대,126.63423593549999,37.4735612126
28110,536,19,51,24,인천광역시,중구,28110122.0,사동,3149034,우현로,사동26-19도,인현동1-450도,126.6256280297,37.4695891909
28110,559,122,47,27,인천광역시,중구,28110142.0,송월동1가,3149050,자유공원로,인현동1-450도,송월동2가10-1도,126.6211820489,37.4793443708
28110,616,13,29,34,인천광역시,중구,28110135.0,용동,4247243,우현로72번길,인현동84-1도,용동247도,126.63057465709998,37.4736494784
28110,635,11,32,36,인천광역시,중구,28110131.0,율목동,4247293,율목로30번길,율목동253-7도,율목동253-2도,126.6345948208,37.4697678001
28110,645,6,8,38,인천광역시,중구,28110126.0,신흥동1가,4247049,답동로12번길,답동65-1도,신흥동1가18-25 도,126.63081827719999,37.4698610765
28110,652,57,20,41,인천광역시,중구,28110125.0,답동,4247235,우현로20번길,사동26-19도,답동65-1도,126.6296372278,37.4677475488
28110,689,4,1,46,인천광역시,중구,28110132.0,도원동,4247066,도원로50번길,도원동69도,도원동22-22도,126.63827831190001,37.4687182576
28110,723,12,28,52,인천광역시,중구,28110139.0,북성동2가,4247360,차이나타운로26번길,북성동3가11도,북성동2가14도,126.618706282,37.4773967609
28110,837,12,31,62,인천광역시,중구,28110130.0,유동,4247296,율목로8번길,율목동250-31대,율목동253-7도,126.63558162209999,37.4694691581
28110,850,23,1,65,인천광역시,중구,28110129.0,선화동,4247315,인중로50번길,신흥동3가11-4도,선화동42도,126.6381700177,37.464910200300004
28110,922,1,0,74,인천광역시,중구,28110138.0,북성동1가,2149003,축항대로,북성동1가104-5잡,신흥동3가35도,126.6004701185,37.4617971755
28110,937,31,0,74,인천광역시,중구,28110118.0,항동7가,2149003,축항대로,북성동1가104-5잡,신흥동3가35도,126.6027581215,37.4599673052
28110,1086,1,0,76,인천광역시,중구,28110117.0,항동6가,3149025,신포로,항동6가16-1도,내동 83-15,126.6232571199,37.4695456925
28110,1091,11,0,76,인천광역시,중구,28110108.0,해안동4가,3149025,신포로,항동6가16-1도,내동 83-15,126.6239509733,37.4702498464
28110,1094,17,0,76,인천광역시,중구,28110104.0,중앙동4가,3149025,신포로,항동6가16-1도,내동 83-15,126.6243788486,37.4706685529
28110,1098,26,0,76,인천광역시,중구,28110124.0,신포동,3149025,신포로,항동6가16-1도,내동 83-15,126.62495250959999,37.4712261041
28110,1100,29,0,76,인천광역시,중구,28110111.0,관동3가,3149025,신포로,항동6가16-1도,내동 83-15,126.6251966074,37.471530975
28110,1104,37,0,76,인천광역시,중구,28110121.0,송학동3가,3149025,신포로,항동6가16-1도,내동 83-15,126.6257119243,37.472122869
28110,1389,1,0,89,인천광역시,중구,28110120.0,송학동2가,3149074,송학로,송학동3가8도,송학동1가12도,126.624390185,37.4747326656
28110,1417,1,0,90,인천광역시,중구,28110140.0,북성동3가,4247322,자유공원서로29번길,북성동3가11도,북성동3가3-7대,126.62051791430001,37.4767805256
28110,1437,15,0,91,인천광역시,중구,28110143.0,송월동2가,4247367,참외전로13번길,송월동1가10-11도,북성동1가7-64도,126.62079382690001,37.4801473049
28110,1489,13,0,96,인천광역시,중구,28110127.0,신흥동2가,4247352,제물량로92번길,신흥동1가97도,신흥동2가30-2 도,126.63346004579999,37.468132908200005
28110,1963,117,0,105,인천광역시,중구,28110123.0,신생동,3149063,인중로,인천광역시 미추홀구 숭의동 342-2,인천광역시 동구 송림동 4-1,126.6299670016,37.4658105574
28110,2006,203,0,105,인천광역시,중구,28110116.0,항동5가,3149063,인중로,인천광역시 미추홀구 숭의동 342-2,인천광역시 동구 송림동 4-1,126.62195459760001,37.4699645372
28110,2013,217,0,105,인천광역시,중구,28110115.0,항동4가,3149063,인중로,인천광역시 미추홀구 숭의동 342-2,인천광역시 동구 송림동 4-1,126.6206768186,37.4707087771
28110,2020,231,0,105,인천광역시,중구,28110114.0,항동3가,3149063,인중로,인천광역시 미추홀구 숭의동 342-2,인천광역시 동구 송림동 4-1,126.61939902559999,37.4714530029
28110,2025,241,0,105,인천광역시,중구,28110113.0,항동2가,3149063,인중로,인천광역시 미추홀구 숭의동 342-2,인천광역시 동구 송림동 4-1,126.61847649090001,37.4719732817
28110,2035,261,0,105,인천광역시,중구,28110112.0,항동1가,3149063,인중로,인천광역시 미추홀구 숭의동 342-2,인천광역시 동구 송림동 4-1,126.6166281168,37.473011009400004
28110,2093,1,0,106,인천광역시,중구,28110141.0,선린동,3149043,월미로,북성동2가14도,북성동1가119도,126.6172299432,37.4752530654
28110,2457,241,0,107,인천광역시,중구,28140105.0,창영동,3149065,참외전로,인천광역시 중구 송월동1가 14-4,인천광역시 미추홀구 숭의동 78-17,126.64163118270001,37.4688165102
28110,2462,251,0,107,인천광역시,중구,28177101.0,숭의동,3149065,참외전로,인천광역시 중구 송월동1가 14-4,인천광역시 미추홀구 숭의동 78-17,126.6425832557,37.4683357821
28110,2582,193,0,109,인천광역시,중구,28110107.0,해안동3가,3149064,제물량로,인천광역시 미추홀구 숭의동 440-6,인천광역시 동구 화수동 311-12,126.6225769992,37.4708904427
28110,2588,206,0,109,인천광역시,중구,28110106.0,해안동2가,3149064,제물량로,인천광역시 미추홀구 숭의동 440-6,인천광역시 동구 화수동 311-12,126.62148244139999,37.471529685300005
28110,2595,219,0,109,인천광역시,중구,28110105.0,해안동1가,3149064,제물량로,인천광역시 미추홀구 숭의동 440-6,인천광역시 동구 화수동 311-12,126.6201637401,37.4722278254
28110,2645,320,0,109,인천광역시,중구,28110144.0,송월동3가,3149064,제물량로,인천광역시 미추홀구 숭의동 440-6,인천광역시 동구 화수동 311-12,126.61992416620001,37.4794141267
28110,2997,95,0,124,인천광역시,중구,28177102.0,용현동,4247135,서해대로410번길,신흥동2가57도,신흥동3가44-1철,126.6378669949,37.461041369200004
28110,3126,61,0,128,인천광역시,중구,28140101.0,만석동,4247120,북성포길,북성동1가3-53대,북성동1가3-54철,126.61738551139999,37.4830213181
28110,3271,5,0,134,인천광역시,중구,28110103.0,중앙동3가,3149059,홍예문로,해안동3가4도,전동37-1도,126.6231296336,37.4712965577
28110,3277,17,0,134,인천광역시,중구,28110110.0,관동2가,3149059,홍예문로,해안동3가4도,전동37-1도,126.6239179223,37.4721764601
28110,5238,32,0,201,인천광역시,중구,28110109.0,관동1가,4247362,차이나타운로51번길,선린동58-1도,북성동3가11도,126.62045081790001,37.4745760795
28110,5240,35,0,201,인천광역시,중구,28110119.0,송학동1가,4247362,차이나타운로51번길,선린동58-1도,북성동3가11도,126.62067831430001,37.474576893000005
28110,5505,53,0,209,인천광역시,중구,28110102.0,중앙동2가,4247169,신포로27번길,중앙동4가8-42도,선린동58-1도,126.62256653530001,37.4727592864
28110,5519,81,0,209,인천광역시,중구,28110101.0,중앙동1가,4247169,신포로27번길,중앙동4가8-42도,선린동58-1도,126.62121582270001,37.4734191646
28110,10984,1,0,699,인천광역시,중구,28110149.0,을왕동,4247017,공항서로554번길,을왕동산16-6 임,운서동8-2 전,126.39819271879999,37.4584202884
28110,11011,55,0,699,인천광역시,중구,28110147.0,운서동,4247017,공항서로554번길,을왕동산16-6 임,운서동8-2 전,126.3977173927,37.4629426348
28110,11022,19,0,700,인천광역시,중구,28110152.0,무의동,3149012,대무의로,무의동 298-2제,무의동 9-19잡,126.4141762116,37.409413242
28110,11865,13,0,733,인천광역시,중구,28110151.0,덕교동,4247326,잠진도길,운서동2854제,덕교동 107전,126.42468972540001,37.4226756061
28110,12894,1,0,767,인천광역시,중구,28110150.0,남북동,4247037,남북로84번길,남북동554전,남북동963도,126.4115142393,37.446968463299996
28110,14965,94,1,870,인천광역시,중구,28110148.0,운북동,4247042,논골길,운북동1261-20원,운북동1258도,126.5384994444,37.5167274558
28110,15052,118,1,877,인천광역시,중구,28110145.0,중산동,3149055,중산로,중산동1014-8도,중산동1125-13잡,126.56448410770001,37.5072447234
28110,16286,21,1,992,인천광역시,중구,28110146.0,운남동,4247278,운중로48번길,운남동125-1도,중산동1612-6도,126.5382528472,37.4913443381
28110,86802,15,0,5244,인천광역시,중구,28185106.0,송도동,1000037,인천대교고속도로,인천 중구 운서동 1507-8,인천 중구 운남동 1494-1,126.61239004120002,37.406686829
28140,181,57,3,4,인천광역시,동구,28140102.0,화수동,3150016,쌍우물로,화수동 276-12,화수동 8-38,126.63033432290001,37.4825671554
28140,200,13,1,9,인천광역시,동구,28140107.0,송림동,4250144,송림로157번길,송림동 31-61,송림동 31-6,126.6509141965,37.4781204813
28140,242,1,0,17,인천광역시,동구,28140103.0,송현동,2008002,중봉대로,송현동 1-6,송현동 142-19,126.6398583372,37.4813971966
28140,394,22,7,30,인천광역시,동구,28140104.0,화평동,3008001,송화로,화평동 525-1,송현동 66-24,126.6323545824,37.4788391145
28140,490,526,11,48,인천광역시,동구,28140106.0,금곡동,2008001,서해대로,창영동 10-2,송현동 23-30,126.6385803181,37.4723223008
28140,623,12,52,67,인천광역시,동구,28177104.0,도화동,4250039,동산로12번길,송림동 102-107,송림동 102-103,126.6522534993,37.4696397176
28177,453,6,0,9,인천광역시,미추홀구,28177106.0,관교동,3151031,연남로,인천광역시 연수구 선학동 21-17,인천광역시 미추홀구 관교동 15,126.7024174099,37.439465172
28177,539,129,0,10,인천광역시,미추홀구,28177105.0,주안동,3151011,수봉로,숭의동 58-1,도화동 498-2,126.66414794469999,37.4574471032
28177,1034,161,0,17,인천광역시,미추홀구,28177103.0,학익동,3008017,독배로,인천광역시 연수구 옥련동 469-4,인천광역시 미추홀구 숭의동 340-1,126.6473711542,37.4349588295
28177,2518,504,0,31,인천광역시,미추홀구,28200102.0,간석동,3000028,경인로,숭의동 163-6,주안동 892-1,126.695293437,37.4603081466
28177,2955,411,0,37,인천광역시,미추홀구,28200101.0,구월동,3008011,인하로,인천광역시 미추홀구 용현동 202-1,인천광역시 남동구 구월동 1447-1,126.69340771690001,37.4466721943
28177,3611,595,0,45,인천광역시,미추홀구,28177107.0,문학동,2008007,경원대로,문학동 23-3,주안동 35-1,126.6960008037,37.4370866844
28177,6135,33,0,79,인천광역시,미추홀구,28185101.0,옥련동,2000014,비류대로,학익동 587-169,학익동 587-167,126.63915649239999,37.4310589562
28185,116,231,0,1,인천광역시,연수구,28185104.0,청학동,2000014,비류대로,옥련동 산2-13,선학동384,126.66053269049999,37.4272019106
28185,157,313,0,1,인천광역시,연수구,28185103.0,연수동,2000014,비류대로,옥련동 산2-13,선학동384,126.6693421808,37.4252479892
28185,257,513,0,1,인천광역시,연수구,28185102.0,선학동,2000014,비류대로,옥련동 산2-13,선학동384,126.6916484279,37.422956108899996
28185,304,1,0,2,인천광역시,연수구,28185105.0,동춘동,3152021,원인재로,동춘동 943-3,연수동 532-1,126.6699745719,37.4030158092
28185,16897,1,0,922,인천광역시,연수구,28200111.0,고잔동,2348176,송도바이오대로,송도동386-2,송도동386,126.6845560673,37.386823351
28200,1273,1,0,15,인천광역시,남동구,28200103.0,만수동,4259264,담방로48번길,만수동 1066,만수동 1063,126.7389691637,37.443921041100005
28200,1314,1,0,17,인천광역시,남동구,28200105.0,서창동,4259665,장아산로174번길,서창동 611,서창동 610,126.7511632617,37.4356517866
28200,1572,1,0,29,인천광역시,남동구,28200109.0,도림동,4259277,도림로34번길,도림동 617-15,도림동 617,126.72737406790002,37.4188450257
28200,1650,99,0,32,인천광역시,남동구,28200104.0,장수동,3008024,무네미로,인천광역시 남동구 만수동 706-11,인천광역시 부평구 구산동 12-5,126.745022944,37.4477019236
28200,2185,3519,0,37,인천광역시,남동구,28200106.0,운연동,3000064,수인로,경기 수원시 팔달구 고등동 268-21,인천 남동구 장수동 657-2,126.7686519035,37.4431310873
28200,3170,1,0,53,인천광역시,남동구,28200108.0,수산동,3153070,장승남로,수산동 13-45,만수동 624-3,126.7323602303,37.4434233363
28200,3825,54,0,65,인천광역시,남동구,28237102.0,십정동,4259464,석정로579번길,간석동 613-6,간석동 613-4,126.69667588760001,37.468443914
28200,7810,31,0,242,인천광역시,남동구,28237101.0,부평동,4259334,만월북로112번길,간석동 1-206,간석동 1-477,126.71651837510001,37.4759173965
28200,10753,1,0,364,인천광역시,남동구,28200107.0,남촌동,4259193,남촌동로26번길,남촌동 378-2,남촌동 368-1,126.71581400950001,37.4321413511
28200,16835,1,0,608,인천광역시,남동구,28200110.0,논현동,4259736,함박뫼로318번길,남촌동 637,논현동 471-7,126.69920317129998,37.4146756349
28200,38725,5,0,1771,인천광역시,남동구,41390102.0,신천동,4397491,용부리길,경기 시흥시 신천동 596,경기 시흥시 신천동 669-6,126.76899581229999,37.4426771471
28200,85039,170,0,4391,인천광역시,남동구,41390103.0,방산동,3350708,서창방산로,인천 남동구 서창동 748,인천 남동구 운연동 462-21,126.7611302791,37.4280828801
28237,170,1,0,8,인천광역시,부평구,28237103.0,산곡동,4262243,마장로252번길,산곡동 199-33,산곡동 263-43,126.7030015234,37.5005216843
28237,206,1,0,12,인천광역시,부평구,28237104.0,청천동,4262768,평천로93번길,청천동 384-21,청천동 384-1,126.7024752579,37.5212086548
28237,360,279,0,13,인천광역시,부평구,28237106.0,갈산동,3000067,평천로,청천동 372-6,삼산동 109-19,126.7215218517,37.5164893758
28237,415,389,0,13,인천광역시,부평구,28237105.0,삼산동,3000067,평천로,청천동 372-6,삼산동 109-19,126.7336224673,37.5175863602
28237,998,107,0,28,인천광역시,부평구,28237107.0,부개동,3154029,부흥북로,부평동 439-11,부평동 499-9,126.7341196119,37.5008518191
28237,1449,14,1,49,인천광역시,부평구,28237108.0,일신동,3154005,구산로,구산동 354,구산동 398-18,126.7512004391,37.4824876557
28237,2993,5,1,145,인천광역시,부평구,28237109.0,구산동,3154005,구산로,구산동 354,구산동 398-18,126.75151572719999,37.4831001062
28237,6444,89,0,336,인천광역시,부평구,41190109.0,상동,3154056,체육관로,삼산동 465-1,삼산동 448-4,126.7416169593,37.5089974005
28237,17168,21,0,1543,인천광역시,부평구,41190114.0,송내동,4262055,경인로1099번길,부개동 312-7,부개동 308-2,126.74239139379999,37.486953711
28237,22316,1,0,1826,인천광역시,부평구,28260112.0,가좌동,4262324,백범로604번길,십정동 238,십정동 117,126.68763327030001,37.4764971026
28237,71190,667,0,6664,인천광역시,부평구,41190123.0,삼정동,4859682,굴포천동자전거길,인천광역시 부평구 삼산동 325-319(631),인천광역시 부평구 삼산동 110-13(732),126.76070554200001,37.5203970141
28245,1,631,0,1,인천광역시,계양구,28245103.0,작전동,3154050,장제로,작전동 736-1,오류동 산79-2,126.73299253030001,37.524153914
