시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
46170,20280,729,0,168,전라남도,나주시,46170129.0,대기동,3284040,세영로,세지면 벽산리 344-17답(세지어린이집입구),대기동 377-4전,126.720796886,34.9732261869
46170,22368,251,0,202,전라남도,나주시,29155126.0,양과동,4652037,광촌길,남평읍 광촌리 513-6대(구광촌분교) 옆,남평읍 광촌리 32-1답,126.87300279760001,35.075159686
46170,23766,150,0,227,전라남도,나주시,46830340.0,시종면,4652588,풍동방두길,반남면 대안리 236-3답,반남면 대안리 1068-4전(영암방두마을회관),126.6329600376,34.9074095284
46170,31020,1,0,332,전라남도,나주시,46790370.0,도암면,4652587,평지길,다도면 도동리 703임(평지마을입구),다도면 도동리 660대,126.84054376270001,34.8808930726
46170,32651,50,0,349,전라남도,나주시,29200165.0,신동,4652374,양천금동길,노안면 양천리 산4임,노안면 양천리 270-1전,126.6891745105,35.1110449196
46170,34021,148,0,376,전라남도,나주시,46170132.0,오량동,4652646,터진목길,왕곡면 덕산리 590-138대(면사무소입구),왕곡면 옥곡리 128-8답(신흥마을),126.65721456290001,34.9739367461
46170,36770,12,0,421,전라남도,나주시,29155119.0,승촌동,4652330,신가동섬길,산포면 내기리 602임,금천면 신가리 766-1천,126.77870917899999,35.0541860088
46170,40177,9,0,492,전라남도,나주시,29200142.0,요기동,4652012,감정길,노안면 유곡리 88-18전,노안면 유곡리 산1-10임,126.74524193879999,35.1033892926
46170,40866,1,0,500,전라남도,나주시,46170102.0,송월동,3284014,남고문로,경현동 280-1답,죽림동 60-141철,126.71145436469999,35.0271858802
46170,40880,29,0,500,전라남도,나주시,46170111.0,금성동,3284014,남고문로,경현동 280-1답,죽림동 60-141철,126.7142251316,35.0281652993
46170,40905,80,0,500,전라남도,나주시,46170120.0,남외동,3284014,남고문로,경현동 280-1답,죽림동 60-141철,126.71957946479999,35.0290889135
46170,40919,107,0,500,전라남도,나주시,46170121.0,죽림동,3284014,남고문로,경현동 280-1답,죽림동 60-141철,126.72260263049999,35.0290897117
46170,40954,41,0,501,전라남도,나주시,46170114.0,성북동,4652061,금성길,남내동 76-3대(금복식육식당),성북동 66대(송원한방갈비),126.7180419608,35.0326897912
