시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
11110,22772,148,0,2799,서울특별시,종로구,11110176.0,교남동,3000008,통일로,평동 211,무악동 3-9,126.9650684412,37.567480327800006
11110,27201,373,0,3273,서울특별시,종로구,11410118.0,홍은동,3100020,진흥로,서울특별시 은평구 역촌동 44-28 (통일로),서울특별시 종로구 신영동 20-1 (신영동 삼거리),126.9502940526,37.609649438299996
11110,27859,8,0,3321,서울특별시,종로구,11140170.0,충정로1가,3005004,새문안로,서울특별시 중구 충정로1가 85 (충정로 삼거리),서울특별시 종로구 세종로 211 (세종로 사거리),126.9673133384,37.566430380999996
11140,1,232,3,1,서울특별시,중구,11140133.0,충무로5가,3101011,퇴계로,남대문로5가 541대,황학동 2494대,126.9977160964,37.5617902483
11140,5,14,1,2,서울특별시,중구,11140162.0,신당동,4103061,다산로39가길,신당동 304-218대,신당동 304-222대,127.01289538540001,37.5640300164
11140,11,25,1,3,서울특별시,중구,11140116.0,남대문로3가,3101001,남대문로,남대문로3가 92-3대,북창동 94-66 대,126.9784500968,37.561321615
11140,12,25,3,3,서울특별시,중구,11140113.0,북창동,3101001,남대문로,남대문로3가 92-3대,북창동 94-66 대,126.9784183242,37.5614081179
11140,23,50,1,4,서울특별시,중구,11140155.0,을지로3가,3101009,충무로,필동1가 41-1대,입정동 206-3대,126.9928963359,37.565669312800004
11140,27,1,0,5,서울특별시,중구,11140118.0,남대문로5가,4103200,세종대로4길,남대문로5가 12-2대,남대문로5가 166대,126.9742199733,37.558499800199996
11140,49,1,0,6,서울특별시,중구,11140144.0,장충동2가,4103271,장충단로7가길,장충동2가 110-1대,장충동2가 112-30대,127.005544371,37.5623931053
11140,61,12,5,7,서울특별시,중구,11140139.0,필동3가,3101003,서애로,충무로5가 17-1대,충무로5가 88-5대,126.9977493675,37.5613033705
11140,88,159,1,10,서울특별시,중구,11140145.0,광희동1가,3101002,마른내로,광희동1가 168대,광희동1가 124대,127.0057845882,37.5647653117
11140,97,159,20,10,서울특별시,중구,11140148.0,을지로6가,3101002,마른내로,광희동1가 168대,광희동1가 124대,127.0056939732,37.5654770693
11140,107,11,1,13,서울특별시,중구,11140134.0,인현동2가,4103126,마른내로8길,인현동2가 181-5대,인현동2가 181-5대,126.996610538,37.563617485
11140,112,336,7,15,서울특별시,중구,11140146.0,광희동2가,3101011,퇴계로,남대문로5가 541대,황학동 2494대,127.00900499139999,37.5639820039
11140,115,232,2,16,서울특별시,중구,11140132.0,충무로4가,3101011,퇴계로,남대문로5가 541대,황학동 2494대,126.9976193368,37.5618365262
11140,137,1,0,20,서울특별시,중구,11140150.0,을지로4가,4103250,을지로33길,을지로4가 157-1대,을지로4가 104-1대,127.00032996870002,37.5669509612
11140,138,4,0,20,서울특별시,중구,11140152.0,주교동,4103250,을지로33길,을지로4가 157-1대,을지로4가 104-1대,127.00035681850001,37.567045818000004
11140,232,1,0,24,서울특별시,중구,11140136.0,묵정동,4103357,퇴계로50길,묵정동 27-1대,장충동2가 193-38대,127.0011767416,37.562653581599996
11140,282,11,7,26,서울특별시,중구,11140171.0,중림동,4103279,중림로5길,중림동 156-50대,중림동 156-52대,126.9653160649,37.559440114299996
11140,322,16,1,29,서울특별시,중구,11140105.0,을지로2가,4103169,삼일대로12길,을지로2가 101-32대,을지로2가 101-37대,126.9887319657,37.5666564666
11140,349,8,15,34,서울특별시,중구,11140127.0,명동2가,4103161,명동8길,명동2가 54-11대,명동2가 54-24대,126.9838325473,37.563185697600005
11140,362,1,0,36,서울특별시,중구,11140147.0,쌍림동,4103363,퇴계로56길,쌍림동 270-2대,장충동2가 11-2 대,127.00583433860001,37.563716754
11140,417,1,0,38,서울특별시,중구,11140163.0,흥인동,4103384,퇴계로81길,황학동 744대,흥인동 2-1대,127.018062121,37.5657431943
11140,495,1,0,42,서울특별시,중구,11140138.0,필동2가,4103349,퇴계로42길,필동2가 53대,필동3가 30-2대,126.9967530234,37.5616343575
11140,519,67,1,44,서울특별시,중구,11140129.0,남산동2가,4103327,퇴계로18길,남산동2가 45-13대,남산동2가 45-1대,126.9845869264,37.5579164956
11140,700,109,1,59,서울특별시,중구,11140166.0,서소문동,3005010,서소문로,서울특별시 서대문구 충정로3가 414 (충정로삼거리),서울특별시 중구 태평로2가 340-6,126.9733261984,37.5630567921
11140,716,3,34,61,서울특별시,중구,11140121.0,회현동1가,4103373,퇴계로6길,회현동1가 194-24대,회현동1가 194-24대,126.9794598923,37.5589590488
11140,779,8,1,69,서울특별시,중구,11140157.0,산림동,4103286,창경궁로5길,산림동 18-1대,산림동 25-1대,126.99745115520001,37.567245211999996
11140,786,29,1,71,서울특별시,중구,11140122.0,회현동2가,4103205,소공로3길,회현동2가 49-4대,회현동1가 146-1대,126.98269883290001,37.5566884612
