시군구코드,기초구간일련번호,기초번호본번,기초번호부번,도로구간일련번호,시도명,시군구명,읍면동코드,읍면동명,도로명코드,도로명,도로구간시점,도로구간종점,중심점좌표_X,중심점좌표_Y
31110,1,1,0,1,울산광역시,중구,31110118.0,반구동,4307457,학성공원길,화합로 341,학성공원2길 20,129.3409954508,35.5567161818
31110,13,25,0,1,울산광역시,중구,31110101.0,학성동,4307457,학성공원길,화합로 341,학성공원2길 20,129.3397430125,35.556379900900005
31110,17,1,0,2,울산광역시,중구,31110111.0,태화동,4307179,명정7길,태화동816-11,태화동818-22,129.2879371512,35.5535662252
31110,39,1,0,3,울산광역시,중구,31110103.0,복산동,4307433,학성11길,학성2길 24,학성1길 31,129.330803488,35.560001781
31110,184,1,0,9,울산광역시,중구,31110117.0,약사동,4307424,평산6길,약사동 800-18,북부순환도로 730,129.3361115835,35.570472164499996
31110,235,1,0,12,울산광역시,중구,31110110.0,유곡동,4307416,평동4길,평동1길30일원,평동5길35일원,129.3043447423,35.5590292511
31110,275,1,0,14,울산광역시,중구,31110114.0,서동,4307226,병영성12길,서동 313-1,서동 248,129.3443967031,35.5759348981
31110,290,1,0,15,울산광역시,중구,31110115.0,남외동,4307022,곽남17길,남외동 439-6,서동 409-1,129.34423915690002,35.5691969062
31110,390,27,0,18,울산광역시,중구,31110113.0,동동,4307213,병영1길,번영로 607,동동 251,129.3488057973,35.571774862
31110,466,1,0,23,울산광역시,중구,31110106.0,성남동,4307168,만남의거리,학성로 84 일원,젊음의2거리 37 일원,129.3203613999,35.5549436483
31110,497,1,0,25,울산광역시,중구,31110105.0,옥교동,4307352,옥교1길,번영로 310,옥교5길 40,129.3239177353,35.5531300986
31110,521,17,0,26,울산광역시,중구,31110102.0,학산동,4307348,옥교12길,옥교5길 1,가구거리 27,129.3276049343,35.5549728802
31110,744,1,0,30,울산광역시,중구,31110108.0,우정동,4307008,강정7길,장춘로 65,우정동 10-14,129.3161582033,35.5560182286
31110,785,62,0,31,울산광역시,중구,31110107.0,교동,4307166,동헌길,우정동 278-4,성남동 68-9,129.3161148567,35.5571968636
31110,810,163,0,31,울산광역시,중구,31110104.0,북정동,4307166,동헌길,우정동 278-4,성남동 68-9,129.319911889,35.5575193399
31110,1292,1,0,55,울산광역시,중구,31110109.0,성안동,4307475,함월16길,성안동805-7,성안동785-1,129.30844366280002,35.5756934336
31110,1787,1,0,69,울산광역시,중구,31110116.0,장현동,4307402,주연길,내약길1,장현동 572,129.3303491961,35.583949923
31110,2297,15,0,76,울산광역시,중구,31710259.0,범서읍,4307431,풍암길,길촌길 208,성안동 1423,129.2938571008,35.5773876966
31110,2801,1,0,81,울산광역시,중구,31110112.0,다운동,4307169,말미길,다운로 300,다운동 190-3,129.2654552195,35.579381894499996
31110,14589,77,0,547,울산광역시,중구,31200120.0,명촌동,4307093,내황14길,반구동299-2,반구동401-26,129.34968290700002,35.552119827
31140,1,25,1,1,울산광역시,남구,31140108.0,야음동,4310544,수암로302번길,야음동368-1대,야음동379-13대,129.3360407985,35.5187988932
31140,8,13,1,2,울산광역시,남구,31140101.0,무거동,4310573,신복로36번길,무거동826-18대,무거동822-3대,129.25928393540002,35.5500522794
31140,1099,56,13,93,울산광역시,남구,31140109.0,선암동,4310371,산업로339번길,선암동174-10답,선암동151-2대,129.3346263551,35.517709736
31140,1104,9,1,95,울산광역시,남구,31140104.0,신정동,4310559,신남로29번길,신정동936-48대,신정동933-9대,129.313158153,35.5239777255
31140,1243,20,1,107,울산광역시,남구,31140107.0,여천동,4310377,산업로517번길,여천동1186-11대,여천동1158-1대,129.3449732297,35.5282249033
31140,3192,8,1,379,울산광역시,남구,31140110.0,상개동,4310386,산업로85번길,상개동200-5답,상개동220전,129.3167024262,35.5055147749
31140,3359,5,1,391,울산광역시,남구,31140103.0,두왕동,4310240,두왕로78번길,선암동567-20대,선암동567-1대,129.3094045634,35.5102892554
31140,3584,260,1,405,울산광역시,남구,31140111.0,부곡동,3170052,처용로,야음동 853-0,용연동 244-16,129.3389645915,35.4977251997
31140,3675,260,183,405,울산광역시,남구,31140113.0,성암동,3170052,처용로,야음동 853-0,용연동 244-16,129.3377454782,35.491418477399996
31140,4071,295,1,410,울산광역시,남구,31140114.0,황성동,3170044,용연로,성암동 25-2,황성동 33-13,129.360457107,35.4664152607
31140,4206,14,119,411,울산광역시,남구,31140119.0,매암동,3170036,신여천로,선암동 234-5,여천동 363-54,129.352061104,35.50945668
31140,4335,14,377,411,울산광역시,남구,,,3170036,신여천로,선암동 234-5,여천동 363-54,129.3651935986,35.5051400118
31140,4381,38,1,414,울산광역시,남구,31140118.0,장생포동,4310751,장생포고래로29번길,매암동391-93장,장생포동380-3전,129.3708577108,35.5090802255
31140,4466,9,1,423,울산광역시,남구,31140102.0,옥동,4310263,문수로369번길,옥동1404-8대,옥동1627-36대,129.2939668155,35.5353856262
31140,4843,30,1,458,울산광역시,남구,31140105.0,달동,4310610,신정로37번길,달동710-8대,달동1403-1대,129.3190079878,35.5345869292
31140,5753,15,1,586,울산광역시,남구,31140106.0,삼산동,4310420,삼산로308번길,삼산동1613-1대,삼산동1616-12대,129.340526748,35.5383207464
31140,13978,227,0,1148,울산광역시,남구,31710262.0,청량읍,3170006,남부순환도로,무거동 324-1,선암동 308-34,129.2686874174,35.5298755111
31140,16748,1,0,1218,울산광역시,남구,31140115.0,용연동,4310701,용연로50번길,황성동203-1장,황성동724-3장,129.3564992025,35.486428111
